MUNICIPIO,PERIODO,CULTIVO,AREA SEMABRADA (ha),AREA COSECHADA (ha),RENDIMIENTO (t/ha),PRODUCCION (t)
AGUACHICA,2018A,MAIZ TRADICIONAL,1400,1200,1,1200
AGUACHICA,2018A,FRIJOL,300,270,1,270
AGUACHICA,2018A,AHUYAMA,10,10,10,100
AGUACHICA,2018A,MAIZ TECNIFICADO,350,320,2.8,896
AGUACHICA,2018B,MAIZ TRADICIONAL,1000,900,1,900
AGUACHICA,2018B,FRIJOL,400,390,1,390
AGUACHICA,2018B,AHUYAMA,10,10,10,100
AGUACHICA,2018B,MAIZ TECNIFICADO,170,170,3.2,544
AGUACHICA,2018B,ALGODON,83,83,2.5,208
AGUSTIN CODAZZI,2018A,ARROZ RIEGO,70,70,6,420
AGUSTIN CODAZZI,2018A,TOMATE,12,10,12,120
AGUSTIN CODAZZI,2018A,FRIJOL,206,206,1,206
AGUSTIN CODAZZI,2018A,MAIZ TRADICIONAL,657,650,1,650
AGUSTIN CODAZZI,2018A,MELON,8,4,4,16
AGUSTIN CODAZZI,2018A,MAIZ TECNIFICADO,40,40,3,120
AGUSTIN CODAZZI,2018B,ARROZ RIEGO,70,70,5.5,385
AGUSTIN CODAZZI,2018B,FRIJOL,355,355,1,355
AGUSTIN CODAZZI,2018B,MAIZ TRADICIONAL,590,550,1,550
AGUSTIN CODAZZI,2018B,MAIZ TECNIFICADO,40,40,2.6,104
AGUSTIN CODAZZI,2018B,TOMATE,15,15,12,180
AGUSTIN CODAZZI,2018B,ALGODON,7,7,2.5,18
ASTREA,2018A,PATILLA,25,17,10,170
ASTREA,2018A,MAIZ TRADICIONAL,700,400,0.8,320
ASTREA,2018A,AHUYAMA,30,20,10,200
ASTREA,2018A,MELON,20,15,12,180
ASTREA,2018B,MAIZ TRADICIONAL,500,450,0.7,315
ASTREA,2018B,AHUYAMA,20,16,8,128
ASTREA,2018B,ALGODON,50,50,2.5,125
BECERRIL,2018A,ARROZ RIEGO,640,630,5.8,3654
BECERRIL,2018A,FRIJOL,330,290,0.8,232
BECERRIL,2018A,MAIZ TRADICIONAL,1200,900,1,900
BECERRIL,2018A,AHUYAMA,50,50,15,750
BECERRIL,2018B,ARROZ RIEGO,480,480,5.5,2640
BECERRIL,2018B,FRIJOL,520,500,0.9,450
BECERRIL,2018B,MAIZ TRADICIONAL,1450,1300,1.2,1560
BECERRIL,2018B,AHUYAMA,70,70,17,1190
BECERRIL,2018B,ALGODON,48,48,1.8,86
BOSCONIA,2018A,PATILLA,80,60,6,360
BOSCONIA,2018A,ARROZ RIEGO,640,640,5.1,3264
BOSCONIA,2018A,FRIJOL,20,18,1,18
BOSCONIA,2018A,MAIZ TRADICIONAL,40,35,1,35
BOSCONIA,2018A,AHUYAMA,20,18,10,180
BOSCONIA,2018B,PATILLA,80,60,6,360
BOSCONIA,2018B,ARROZ RIEGO,640,640,5.1,3264
BOSCONIA,2018B,FRIJOL,20,18,1,18
BOSCONIA,2018B,MAIZ TRADICIONAL,40,35,0.8,28
BOSCONIA,2018B,AHUYAMA,20,10,10,100
BOSCONIA,2018B,ALGODON,190,190,2.2,418
CHIMICHAGUA,2018A,PATILLA,35,32,8,256
CHIMICHAGUA,2018A,FRIJOL,100,85,0.7,60
CHIMICHAGUA,2018A,MAIZ TRADICIONAL,230,200,0.8,160
CHIMICHAGUA,2018A,AHUYAMA,200,130,9,1170
CHIMICHAGUA,2018B,PATILLA,25,20,8,160
CHIMICHAGUA,2018B,FRIJOL,80,66,0.7,46
CHIMICHAGUA,2018B,MAIZ TRADICIONAL,260,200,0.8,160
CHIMICHAGUA,2018B,AHUYAMA,140,115,9,1035
CHIRIGUANA,2018A,ARROZ RIEGO,143,143,6,858
CHIRIGUANA,2018A,FRIJOL,3,3,0.5,2
CHIRIGUANA,2018A,MAIZ TRADICIONAL,326,326,1,326
CHIRIGUANA,2018A,MELON,12,12,22,264
CHIRIGUANA,2018A,AJI,8,8,4,32
CHIRIGUANA,2018A,PATILLA,6,6,9,54
CHIRIGUANA,2018A,AHUYAMA,15,10,6.3,63
CHIRIGUANA,2018B,MELON,15,15,22,330
CHIRIGUANA,2018B,ARROZ RIEGO,200,200,5.5,1100
CHIRIGUANA,2018B,PATILLA,8,8,12,96
CHIRIGUANA,2018B,FRIJOL,5,5,1,5
CHIRIGUANA,2018B,MAIZ TRADICIONAL,380,360,1,360
CHIRIGUANA,2018B,AJI,4,4,4,16
CHIRIGUANA,2018B,AHUYAMA,15,15,12,180
CURUMANI,2018A,ARROZ RIEGO,44,44,5,220
CURUMANI,2018A,FRIJOL,250,230,0.8,184
CURUMANI,2018A,MAIZ TRADICIONAL,300,300,1.5,450
CURUMANI,2018A,MELON,50,50,6,300
CURUMANI,2018B,MELON,20,20,30,600
CURUMANI,2018B,FRIJOL,250,250,1,250
CURUMANI,2018B,MAIZ TRADICIONAL,200,180,1,180
EL COPEY,2018A,TOMATE,12,10,11,110
EL COPEY,2018A,ARROZ RIEGO,94,70,4,280
EL COPEY,2018A,FRIJOL,280,140,0.7,98
EL COPEY,2018A,MAIZ TRADICIONAL,650,400,1,400
EL COPEY,2018A,MELON,300,160,9,1440
EL COPEY,2018A,PATILLA,450,400,10,4000
EL COPEY,2018A,AHUYAMA,40,30,12,360
EL COPEY,2018B,ARROZ RIEGO,90,70,3.5,245
EL COPEY,2018B,FRIJOL,43,40,0.7,28
EL COPEY,2018B,MELON,225,200,9,1800
EL COPEY,2018B,MAIZ TRADICIONAL,820,450,1,450
EL COPEY,2018B,PATILLA,240,200,10,2000
EL COPEY,2018B,AHUYAMA,60,45,16,720
EL PASO,2018A,ARROZ RIEGO,800,750,6,4500
EL PASO,2018A,MAIZ TRADICIONAL,45,45,1,45
EL PASO,2018A,PATILLA,70,50,10,500
EL PASO,2018B,ARROZ RIEGO,400,400,5.5,2200
EL PASO,2018B,MAIZ TRADICIONAL,60,54,1.2,65
EL PASO,2018B,PATILLA,15,12,10,120
GAMARRA,2018A,MAIZ TECNIFICADO,312,300,2,600
GAMARRA,2018A,ARROZ RIEGO,52,45,4,180
GAMARRA,2018A,MAIZ TRADICIONAL,300,280,1,280
GAMARRA,2018A,AHUYAMA,12,10,10,100
GAMARRA,2018B,MAIZ TECNIFICADO,400,400,2,800
GAMARRA,2018B,ARROZ RIEGO,4,4,5.5,22
GAMARRA,2018B,MAIZ TRADICIONAL,115,90,1,90
GAMARRA,2018B,AHUYAMA,8,3,10,30
GAMARRA,2018B,ALGODON,92,92,2.5,230
GONZALEZ,2018A,CEBOLLA DE BULBO,21,21,18,378
GONZALEZ,2018A,CEBOLLA DE RAMA,7,7,39,273
GONZALEZ,2018A,PIMENTON,20,18,4,72
GONZALEZ,2018A,TOMATE,24,24,15,360
GONZALEZ,2018A,FRIJOL,55,55,2,110
GONZALEZ,2018A,MAIZ TRADICIONAL,41,41,1,41
GONZALEZ,2018B,CEBOLLA DE BULBO,10,10,18,180
GONZALEZ,2018B,CEBOLLA DE RAMA,7,7,40,280
GONZALEZ,2018B,PIMENTON,20,20,4,80
GONZALEZ,2018B,TOMATE,24,24,18,432
GONZALEZ,2018B,FRIJOL,60,60,1.5,90
GONZALEZ,2018B,MAIZ TRADICIONAL,48,48,1.2,58
LA GLORIA,2018A,MAIZ TECNIFICADO,400,400,3,1200
LA GLORIA,2018A,FRIJOL,70,70,1,70
LA GLORIA,2018A,ARROZ RIEGO,500,500,6,3000
LA GLORIA,2018A,MAIZ TRADICIONAL,1000,800,1,800
LA GLORIA,2018A,AHUYAMA,60,60,10,600
LA GLORIA,2018B,MAIZ TECNIFICADO,500,500,3,1500
LA GLORIA,2018B,FRIJOL,50,50,0.8,40
LA GLORIA,2018B,ARROZ RIEGO,400,400,5.5,2200
LA GLORIA,2018B,MAIZ TRADICIONAL,1100,980,1.2,1176
LA GLORIA,2018B,AHUYAMA,50,45,10,450
LA JAGUA DE IBIRICO,2018A,TOMATE,25,24,10,240
LA JAGUA DE IBIRICO,2018A,CEBOLLA DE BULBO,14,14,2.7,38
LA JAGUA DE IBIRICO,2018A,FRIJOL,350,342,1.8,616
LA JAGUA DE IBIRICO,2018A,MAIZ TRADICIONAL,1000,800,1.5,1200
LA JAGUA DE IBIRICO,2018A,ARROZ RIEGO,480,480,5.8,2784
LA JAGUA DE IBIRICO,2018A,MELON,10,9,8,72
LA JAGUA DE IBIRICO,2018A,PATILLA,6,5,12,60
LA JAGUA DE IBIRICO,2018A,AHUYAMA,16,16,8,128
LA JAGUA DE IBIRICO,2018B,TOMATE,25,25,18,450
LA JAGUA DE IBIRICO,2018B,CEBOLLA DE BULBO,14,14,18,252
LA JAGUA DE IBIRICO,2018B,MELON,10,9,30,270
LA JAGUA DE IBIRICO,2018B,FRIJOL,460,450,0.8,360
